Reference,Hypothesis,Inference Time (s)
dia akan duduk di sini.,dia akan duduk di sini,0.22312116622924805
salah satu hobiku mengumpulkan perangko lama.,salah satu hobiku mengumpulkan perangko lama,0.2836306095123291
dia bermain tenis pada pagi hari.,dia bermain tenis pada pagi hari,0.18572688102722168
mereka semua sedang sibuk.,mereka semua sedang sibuk,0.5115714073181152
pada jam sibuk kemacetan memperlambat kedatangan saya selama dua jam.,pada jam sibuk kemacetan memperlambat kedatangan saya selama dua jam,0.29050469398498535
malam ini saya keluar kantor awal dan pulang ke rumah.,malam ini saya keluar kantor awal dan pulang ke rumah,0.2795557975769043
saya tidak seberapa suka pizza pepperoni.,saya tidak seberapa suka pizza pepperoni,0.2787454128265381
dia pergi berbelanja ke supermarket.,dia pergi berbelanja ke supermarket,0.18179869651794434
kita tidak bisa bermain tenis saat angin bertiup kencang.,kita tidak bisa bermain tenis saat angin bertiup kuncang,0.2893986701965332
pompa air tersebut sedang di pasang,pompa air tersebut sedang di pasang,0.18519163131713867
alam itu kejam.,alam itu kejam,0.12957549095153809
saya tidak dapat berpikir bahwa ceritamu benar.,saya tidak dapat berfikir bahwa ceritamu benar,0.2790181636810303
kalimat manakah yang dia pilih?,kalimat manakah yang dia pilih,0.17023611068725586
lusa ada pertandingan bisbol.,lusa ada pertandingan bisbol,0.18772482872009277
belati itu menancap di pohon.,belatih itu menancap di pohon,0.38013458251953125
kiamat sudah dekat.,kia matsu deh dekat,0.12677407264709473
satu hal bagi lelaki yang sudah menikah adalah jangan pernah melupakan hari perayaan pernikahan.,satuhal bagi lilaki yang sudah menyikah adalah jangan pernah melupakan hari perayaan pernikahat,0.5191600322723389
saya lebih suka biru daripada merah.,saya lebih suka biruda pada merah,0.1900618076324463
apakah anda siap?,apakah anda siap,0.1780381202697754
"pada hari ini, suasana sangatlah mencekam.",pada hari ini surasana sanatlah mencekam,0.28522157669067383
saya mencuci bajuku sampai bersih.,saya mencuci bajuku sampai bersih,0.1781778335571289
